X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
973;197;0.5071293;0.1829581;0.5071293;0.1829581;399.3;0.2772203;False;6/24/2025 4:53:15 PM:138;1750773195138;;
973;197;0.5071467;0.1827008;0.5079495;0.1708481;399.3;0.2733563;False;6/24/2025 4:53:15 PM:150;1750773195150;;
973;197;0.5071493;0.1825006;0.507273;0.172707;399.3;0.2758631;False;6/24/2025 4:53:15 PM:161;1750773195161;;
973;196;0.5072013;0.1821059;0.5092117;0.1668413;400.3;0.2497256;False;6/24/2025 4:53:15 PM:173;1750773195173;;
973;196;0.5072318;0.181787;0.508718;0.1662508;401.2;0.2499872;False;6/24/2025 4:53:15 PM:185;1750773195185;;
973;196;0.5072601;0.1814872;0.5087112;0.1661931;402.0;0.2500251;False;6/24/2025 4:53:15 PM:196;1750773195196;;
973;195;0.5072894;0.1811812;0.5087157;0.1662316;402.8;0.2499999;False;6/24/2025 4:53:15 PM:206;1750773195206;;
973;195;0.5072598;0.1808645;0.5060928;0.1683577;402.1;0.2548773;False;6/24/2025 4:53:15 PM:220;1750773195220;;
973;195;0.5072309;0.1807652;0.5058234;0.1759246;401.5;0.2550993;False;6/24/2025 4:53:15 PM:231;1750773195231;;
973;195;0.5071943;0.1807518;0.505697;0.1802004;400.9;0.2551716;False;6/24/2025 4:53:15 PM:243;1750773195243;;
973;194;0.5071735;0.1805176;0.5060856;0.168299;400.4;0.2549146;False;6/24/2025 4:53:15 PM:253;1750773195253;;
976;193;0.5083621;0.1796043;0.5559364;0.143008;400.2;0.2877353;False;6/24/2025 4:53:15 PM:267;1750773195267;;
978;193;0.5095267;0.1787709;0.5677424;0.1370541;400.1;0.2881444;False;6/24/2025 4:53:15 PM:276;1750773195276;;
980;192;0.5106203;0.1780525;0.5626486;0.1438266;399.9;0.2880597;False;6/24/2025 4:53:15 PM:289;1750773195289;;
982;191;0.5116652;0.1773665;0.562619;0.1438698;399.8;0.2880307;False;6/24/2025 4:53:15 PM:300;1750773195300;;
984;190;0.5126889;0.1766578;0.5609899;0.1431759;399.6;0.2880065;False;6/24/2025 4:53:15 PM:311;1750773195311;;
987;189;0.5141786;0.175244;0.5698016;0.122396;397.0;0.2662554;False;6/24/2025 4:53:15 PM:325;1750773195325;;
989;187;0.5155677;0.1740344;0.577819;0.1197491;394.7;0.2663326;False;6/24/2025 4:53:15 PM:336;1750773195336;;
992;186;0.5168519;0.1729167;0.5778782;0.1197277;392.5;0.2663634;False;6/24/2025 4:53:15 PM:348;1750773195348;;
994;185;0.5181544;0.1717829;0.5778591;0.1197346;390.6;0.2663535;False;6/24/2025 4:53:15 PM:359;1750773195359;;
1001;183;0.5214065;0.1697558;0.6386845;0.09641543;393.1;0.286596;False;6/24/2025 4:53:15 PM:374;1750773195374;;
1007;181;0.5248939;0.1676514;0.6468962;0.09376493;395.3;0.2866671;False;6/24/2025 4:53:15 PM:389;1750773195389;;
1012;179;0.5273135;0.1659897;0.6192229;0.1026969;397.3;0.2865417;False;6/24/2025 4:53:15 PM:403;1750773195403;;
1018;177;0.5302885;0.1641371;0.6386835;0.09641578;399.0;0.2865956;False;6/24/2025 4:53:15 PM:417;1750773195417;;
1025;173;0.5339048;0.1605452;0.6401523;0.05475657;399.9;0.268989;False;6/24/2025 4:53:15 PM:435;1750773195435;;
1037;167;0.5404403;0.1549788;0.6544316;0.05759098;400.6;0.2690315;False;6/24/2025 4:53:15 PM:465;1750773195465;;
1038;167;0.5409747;0.1551314;0.5598023;0.1605133;400.9;0.27867;False;6/24/2025 4:53:15 PM:481;1750773195481;;
1044;164;0.5442122;0.1521965;0.6502716;0.05577716;401.2;0.2787475;False;6/24/2025 4:53:15 PM:497;1750773195497;;
1049;162;0.546442;0.150391;0.6636804;0.05513821;401.4;0.2787815;False;6/24/2025 4:53:15 PM:506;1750773195506;;
1053;160;0.5488266;0.1484962;0.6648223;0.05601013;401.7;0.2787784;False;6/24/2025 4:53:15 PM:517;1750773195517;;
1059;157;0.5517132;0.1462263;0.662228;0.05902215;401.5;0.2731104;False;6/24/2025 4:53:15 PM:531;1750773195531;;
1063;156;0.554137;0.1444601;0.6709219;0.05904376;401.3;0.2731659;False;6/24/2025 4:53:15 PM:543;1750773195543;;
1068;154;0.5564499;0.1427748;0.6709462;0.05903078;401.1;0.2731812;False;6/24/2025 4:53:15 PM:553;1750773195553;;
1072;152;0.5588491;0.1410263;0.6709211;0.0590442;400.9;0.2731654;False;6/24/2025 4:53:15 PM:564;1750773195564;;
1078;149;0.5619724;0.1384397;0.679219;0.04098064;402.3;0.2648599;False;6/24/2025 4:53:15 PM:578;1750773195578;;
1084;147;0.5645856;0.1366172;0.6935772;0.04626228;403.5;0.2648217;False;6/24/2025 4:53:15 PM:589;1750773195589;;
1088;145;0.5671228;0.1348475;0.6935803;0.04625541;404.6;0.2648172;False;6/24/2025 4:53:15 PM:599;1750773195599;;
1093;143;0.5696517;0.1330834;0.6935831;0.04625007;405.6;0.2648137;False;6/24/2025 4:53:15 PM:610;1750773195610;;
1096;141;0.5708445;0.1308327;0.6171486;0.04335699;405.8;0.2655728;False;6/24/2025 4:53:15 PM:624;1750773195624;;
1097;139;0.5718556;0.1291254;0.622937;0.04274235;406.0;0.2655749;False;6/24/2025 4:53:15 PM:634;1750773195634;;
